molecule_chembl_id,canonical_smiles,IC50_nM,pIC50
CHEMBL5432965,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(SC)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.22,9.85498269431874
CHEMBL5977738,Cc1ccc(S(=O)(=O)c2ccc(C3C(C(=O)c4ccccc4)=C(N)NC4=C3C(=O)CC(C)(C)C4)cc2)cc1,0.14,9.853871964321762
CHEMBL5405163,COc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)OC)[nH]c2c1C(=O)NCC2,0.145,9.849474145077387
CHEMBL5798855,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1OC)C(=O)NCC2,0.153,9.84654098981135
CHEMBL5972309,CN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CNC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.15,9.823908740944319
CHEMBL5192793,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1,0.15,9.823908740944319
CHEMBL5274692,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]2CCOC2)CC1,0.153,9.8153085691824
CHEMBL5192223,COc1cc(N2CCC(N3CCCOCC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.16,9.803651523370167
CHEMBL490496,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,0.1585,9.79997073344623
CHEMBL5572504,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1C=CN3c1cccc(Cl)c1F,0.16,9.795880017344075
CHEMBL5574232,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,0.16,9.795880017344075
CHEMBL6188493,COc1cc2nc(C)nc(Oc3ccc(/C=N/Nc4ccccc4)cc3)c2cc1OC,0.16199999999999998,9.793182501400722
CHEMBL5188373,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.2,9.777197898363202
CHEMBL491083,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.1698,9.770062314092065
CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,0.17,9.769551078621726
CHEMBL592617,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.17,9.769551078621726
CHEMBL5951245,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1OC)C(=O)NCC2,0.175,9.766892526335006
CHEMBL5774126,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,0.1755,9.765870655080013
CHEMBL418967,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,0.1719,9.764750653254538
CHEMBL5396086,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.185,9.761439372640169
CHEMBL2031302,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,0.18,9.744727494896694
CHEMBL166093,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.18,9.744727494896694
CHEMBL5786982,CC(C)N1CC2(CN(c3ccc4ncnc(Nc5cccc(Cl)c5F)c4c3)C(=O)O2)C1,0.20199999999999999,9.740348575382285
CHEMBL5874668,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1OC(F)F)C(=O)NCC2,0.21,9.721848749616356
CHEMBL165864,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.19,9.721246399047171
CHEMBL166154,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,0.19,9.721246399047171
CHEMBL5743634,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1OC(F)F)C(=O)NCC2,0.197,9.715635200440786
CHEMBL6192974,COc1cc2nc(C)nc(NNCC(=O)Nc3ccc(Cl)cc3)c2cc1OC,0.193,9.714442690992227
CHEMBL6193031,COc1cc2nc(C)nc(N/N=C/c3cc(CN4CCN(C)CC4)c(O)c(OC)c3)c2cc1OC,0.203,9.712354107022591
CHEMBL5840248,CCN1CCC(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.2,9.698970004336019
CHEMBL6151532,CSc1nc(-c2cccc(NC(=O)c3cccc(O)c3CN3Cc4ccccc4C3=O)c2)c(-c2ccnc(NC(C)=O)c2)[nH]1,0.2,9.698970004336019
CHEMBL5206902,CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1,0.2,9.698970004336019
CHEMBL4776396,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.2,9.698970004336019
CHEMBL4164805,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.2,9.698970004336019
CHEMBL4175024,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,0.2,9.698970004336019
CHEMBL5182553,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4)cc2)CC1,0.2,9.698970004336019
CHEMBL5887896,COc1cc(N2CCC(NCCO)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.2,9.698970004336019
CHEMBL5597724,COc1cc(N2CCOCC2)c(-c2cnn(C)c2)cc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.2,9.698970004336019
CHEMBL5434495,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,0.375,9.69149982943955
